id,название,структура_развёрнутого_описания
HELP-OPD-DASK-DASHBOARD,Адрес Dask dashboard,"{'что_это': 'Адрес Dask dashboard', 'зачем_нужно': 'Адрес dashboard.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RAY-MODE,Режим Ray,"{'что_это': 'Режим Ray', 'зачем_нужно': 'Local или cluster.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RAY-ADDRESS,Адрес Ray cluster,"{'что_это': 'Адрес Ray cluster', 'зачем_нужно': 'Адрес Ray.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RAY-CPUS,"Локальные CPU Ray, штуки","{'что_это': 'Локальные CPU Ray, штуки', 'зачем_нужно': 'Сколько CPU взять локально.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RAY-DASHBOARD,Показывать Ray dashboard,"{'что_это': 'Показывать Ray dashboard', 'зачем_нужно': 'Включить dashboard.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RAY-DASHBOARD-PORT,Порт Ray dashboard,"{'что_это': 'Порт Ray dashboard', 'зачем_нужно': 'Порт dashboard.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RUNTIME-ENV-MODE,Режим runtime_env,"{'что_это': 'Режим runtime_env', 'зачем_нужно': 'Как формировать runtime_env.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RUNTIME-ENV-JSON,JSON runtime_env,"{'что_это': 'JSON runtime_env', 'зачем_нужно': 'Точный runtime_env.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RUNTIME-EXCLUDE,Исключения runtime_env,"{'что_это': 'Исключения runtime_env', 'зачем_нужно': 'Что исключить из runtime_env.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-EVALUATORS,"Оценщиков, штуки","{'что_это': 'Оценщиков, штуки', 'зачем_нужно': 'Число evaluator-процессов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-CPUS-PER-EVAL,"CPU на оценщик, штуки","{'что_это': 'CPU на оценщик, штуки', 'зачем_нужно': 'Число CPU на evaluator.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-PROPOSERS,"Proposer-ов, штуки","{'что_это': 'Proposer-ов, штуки', 'зачем_нужно': 'Число proposer-процессов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-GPUS-PER-PROPOSER,"GPU на proposer, штуки","{'что_это': 'GPU на proposer, штуки', 'зачем_нужно': 'Число GPU на proposer.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-PROPOSER-BUFFER,"Буфер proposer, штуки","{'что_это': 'Буфер proposer, штуки', 'зачем_нужно': 'Число заранее подготовленных предложений.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-DB-PATH,Путь к базе запуска,"{'что_это': 'Путь к базе запуска', 'зачем_нужно': 'Путь к ExperimentDB.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-DB-ENGINE,Движок базы,"{'что_это': 'Движок базы', 'зачем_нужно': 'Тип базы данных.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RESUME,Продолжить существующий запуск,"{'что_это': 'Продолжить существующий запуск', 'зачем_нужно': 'Разрешить resume.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RUN-ID,Идентификатор запуска,"{'что_это': 'Идентификатор запуска', 'зачем_нужно': 'Явный run id.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-STALE-TTL,"TTL устаревших записей, секунды","{'что_это': 'TTL устаревших записей, секунды', 'зачем_нужно': 'Через сколько секунд считать запись устаревшей.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-HV-LOG,Вести hypervolume log,"{'что_это': 'Вести hypervolume log', 'зачем_нужно': 'Включить историю hypervolume.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-EXPORT-EVERY,Экспортировать каждые N итераций,"{'что_это': 'Экспортировать каждые N итераций', 'зачем_нужно': 'Частота экспортов промежуточных результатов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-N-INIT,"BoTorch n-init, штуки","{'что_это': 'BoTorch n-init, штуки', 'зачем_нужно': 'Число стартовых точек.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-MIN-FEASIBLE,"Минимум feasible точек, штуки","{'что_это': 'Минимум feasible точек, штуки', 'зачем_нужно': 'Минимум feasible точек до включения qNEHVI.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-NUM-RESTARTS,"BoTorch num_restarts, штуки","{'что_это': 'BoTorch num_restarts, штуки', 'зачем_нужно': 'Число перезапусков оптимизации acquisition function.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-RAW-SAMPLES,"BoTorch raw_samples, штуки","{'что_это': 'BoTorch raw_samples, штуки', 'зачем_нужно': 'Число сырых sample-точек.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-MAXITER,"BoTorch maxiter, итерации","{'что_это': 'BoTorch maxiter, итерации', 'зачем_нужно': 'Максимум итераций внутреннего оптимизатора.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-REF-MARGIN,"BoTorch ref_margin, доля единицы","{'что_это': 'BoTorch ref_margin, доля единицы', 'зачем_нужно': 'Margin для reference point.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OPD-NORMALIZE,Нормализовать objective,"{'что_это': 'Нормализовать objective', 'зачем_нужно': 'Нормализовать objectives.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-CURRENT-STAGE,Текущая стадия,"{'что_это': 'Текущая стадия', 'зачем_нужно': 'Текущая стадия расчёта.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-STAGE-BUDGET,"Бюджет стадии, минуты","{'что_это': 'Бюджет стадии, минуты', 'зачем_нужно': 'Бюджет времени текущей стадии.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-ELAPSED,"Прошло времени, минуты","{'что_это': 'Прошло времени, минуты', 'зачем_нужно': 'Прошедшее время.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-LIVE-ROWS,"Строк в текущей стадии, штуки","{'что_это': 'Строк в текущей стадии, штуки', 'зачем_нужно': 'Сколько строк уже записано.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-CANDIDATE-COUNTS,Счётчики кандидатов,"{'что_это': 'Счётчики кандидатов', 'зачем_нужно': 'Счётчики кандидатов по состояниям.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-UNDERFILL,"Недобор budget, штуки","{'что_это': 'Недобор budget, штуки', 'зачем_нужно': 'Недобор seed budget.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-GATE-PREVIEW,Причины gate,"{'что_это': 'Причины gate', 'зачем_нужно': 'Почему кандидаты не прошли.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-RUN-DIR,Каталог запуска,"{'что_это': 'Каталог запуска', 'зачем_нужно': 'Где лежат артефакты.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-INCLUDE-WORKSPACE,Включать рабочий каталог,"{'что_это': 'Включать рабочий каталог', 'зачем_нужно': 'Добавлять ли workspace.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-INCLUDE-ROADS,Включать дороги и манёвры,"{'что_это': 'Включать дороги и манёвры', 'зачем_нужно': 'Добавлять ли профили дорог и манёвров.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-INCLUDE-OPT-RUNS,Включать opt_runs,"{'что_это': 'Включать opt_runs', 'зачем_нужно': 'Добавлять ли каталоги оптимизации.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-INCLUDE-EXPORTS,Включать exports,"{'что_это': 'Включать exports', 'зачем_нужно': 'Добавлять ли exports.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-INCLUDE-PERF,Включать trace производительности,"{'что_это': 'Включать trace производительности', 'зачем_нужно': 'Добавлять ли trace производительности.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-RETENTION-DAYS,"Хранить архивы, сутки","{'что_это': 'Хранить архивы, сутки', 'зачем_нужно': 'Сколько суток хранить старые архивы.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-MAX-SIZE,"Максимальный размер архива, мегабайты","{'что_это': 'Максимальный размер архива, мегабайты', 'зачем_нужно': 'Лимит размера архива.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-NAMING,Формат имени архива,"{'что_это': 'Формат имени архива', 'зачем_нужно': 'Шаблон имени архива.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-LAST-PATH,Последний архив,"{'что_это': 'Последний архив', 'зачем_нужно': 'Путь к последнему архиву.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-LAST-TIME,Время последней сборки,"{'что_это': 'Время последней сборки', 'зачем_нужно': 'Когда последний раз успешно собран архив.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-FRESHNESS,"Свежесть архива, минуты","{'что_это': 'Свежесть архива, минуты', 'зачем_нужно': 'Возраст последнего архива.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-DG-AUTOSAVE-EXIT,Автосохранение при выходе,"{'что_это': 'Автосохранение при выходе', 'зачем_нужно': 'Сохранять пакет при штатном выходе.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
